Putnam,-73.9369,41.3913625139,"Woodlawn (Gordon, Malcolm, School)"
Ulster,-74.1003,41.6967090127,Locust Lawn Estate
Dutchess,-73.9339,41.7041539007,Union Street Historic District
Madison,-75.8657,42.9228998552,Lorenzo
Putnam,-73.9525,41.4136690607,West Point Foundry
Orange,-73.9723,41.3953296931,U.S. Military Academy
Hamilton,-74.6236,43.8213716213,Camp Pine Knot
Bronx,-73.8772,40.8622867219,New York Botanical Garden
Greene,-74.0519,42.3309380182,Susquehannah Turnpike
Westchester,-73.8727,41.0507215016,Old Croton Aqueduct
Westchester,-73.9659,41.3098536606,Bear Mountain Bridge Rd.
Putnam,-73.9032,41.3778131717,Old Albany Post Road
Warren,-73.6457,43.3100140391,Three Squares Historic District
Saratoga,-73.5388,43.3119855756,Old Champlain Canal
Saratoga,-73.4168,43.5122228354,Old Champlain Canal
Saratoga,-73.6825,42.8246684744,Old Champlain Canal
Saratoga,-73.6763,42.9204193861,Old Champlain Canal
Saratoga,-73.6233,42.9831063842,Old Champlain Canal
Saratoga,-73.6939,42.7849628562,Northside Historic District
Kings,-73.995,40.6954103674,Brooklyn Heights Historic District
Oswego,-76.5159,43.4573894961,Franklin Square Historic District
Albany,-73.6869,42.7818915779,Peebles (Peobles) Island
Schenectady,-74.237,42.7647289253,"Wing, William R., Farm Complex"
Schenectady,-74.219,42.7745483804,Shute Octagon House
Westchester,-73.8553,41.1285567509,Scarborough Historic District
Suffolk,-71.9062,41.044045875,Montauk Association Historic District
Suffolk,-71.9335,41.0721464408,Caleb Bragg Estate
Chautauqua,-79.4667,42.209810655,Chautauqua Institution Historic District
Erie,-78.9964,42.5396767392,Thomas Indian School
Erie,-78.8738,42.9429521469,Pierce Arrow Factory Complex
Erie,-78.6183,42.7670356247,Roycroft Campus
Wyoming,-78.0874,42.8270137738,Wyoming Village Historic District
Orleans,-78.1931,43.2457626059,Orleans County Courthouse Historic District
Niagara,-78.9428,43.0912968609,"Williams, Johann, Farm"
Genesee,-78.0147,43.1306209207,Gifford-Walker Farm
Genesee,-78.187,42.9983403629,Genesee County Courthouse Historic District
Erie,-78.9088,42.9556537224,Riverside Park
Erie,-78.8405,42.9054154465,"King, Martin Luther Jr., Park"
Chautauqua,-79.5906,42.3115312538,McMahan Homestead (Landmark Acres)
Chautauqua,-79.5651,42.3339235118,"Wright, Reuben Gridley, Farm Complex"
Chautauqua,-79.5696,42.3265872652,East Main Street Historic District
Chautauqua,-79.5762,42.3201732982,French Portage Road Historic District
Erie,-78.831,42.888641363,New York Central Terminal
Genesee,-78.3427,43.0126660428,Mount Pleasant
Wyoming,-78.0218,42.6994955099,Silver Lake Institute Historic District
Erie,-78.849,42.9369007493,Parkside Subdivision (East) Historic District
Erie,-78.8663,42.9376415372,Parkside Subdivision (West) Historic District
Allegany,-78.0498,42.2653950267,Belvidere
Niagara,-79.0637,43.0819504094,Niagara Reservation
Niagara,-79.0611,43.2627165002,Old Fort Niagara
Niagara,-78.6764,43.1806090507,Lowertown Historic District
Orleans,-78.1572,43.2397626093,Mt. Albion Cemetery
Allegany,-78.0138,42.3066841366,Angelica Park Circle Historic District
Erie,-78.8158,42.8387216564,Cazenovia Park - South Park System
Erie,-78.8827,42.9300687928,Buffalo State Hospital
Erie,-78.8683,42.9304626793,Delaware Park - Front Park System
Niagara,-78.691,43.1737905126,Lockport Industrial District
Montgomery,-74.4896,42.9016573431,Montgomery County Poor Farm
Clinton,-73.433,44.6230163338,Valcour Bay
Schenectady,-73.9392,42.8144982062,Schenectady City Hall and Post Office
Essex,-73.9715,44.2496979534,"Brown, John, Farm"
Onondaga,-76.4257,42.9457153388,Skaneateles Historic District
Oneida,-75.2293,43.0967479892,Rutger-Steuben Park Historic District
Erie,-78.8614,42.9271815673,Forest Lawn Cemetery
Dutchess,-73.9421,41.7971636197,Vanderbilt Mansion National Historic Site
Rensselaer,-73.6924,42.7243195672,Washington Park Historic District
Ulster,-74.0196,41.9339327688,Kingston Stockade Historic District
Rensselaer,-73.6941,42.7304829721,River Street Historic District
Madison,-75.8551,42.9297005459,Albany Street Historic District
New York,-74.0022,40.7068912495,South Street Seaport Historic District
New York,-73.9884,40.730430518,St. Mark's Historic District
Dutchess,-73.9329,41.7067291561,Mill Street-North Clover Street Historic District
Westchester,-73.8604,41.1607149918,Downtown Ossining Historic District
Monroe,-77.6406,43.1876186999,Aquinas Institute
Essex,-73.4288,43.8453783066,Lake George Avenue Historic District
Essex,-73.4256,43.843940792,Amherst Avenue Historic District
Suffolk,-72.3632,41.0996841908,Greenport Railroad Complex
Livingston,-77.6356,42.9321281077,Markham Cobblestone Farmhouse and Barn Complex
Livingston,-77.6611,42.8632771453,Ganoung Cobblestone Farmhouse
Livingston,-77.5991,42.8930203038,"Moses, Ogilvie, Farmhouse"
Livingston,-77.5929,42.903621155,Clark Farm Complex
Dutchess,-73.9284,41.7326370956,"Hudson River State Hospital, Main Building"
Dutchess,-73.8044,41.8520838913,Windswept Farm
Jefferson,-76.0414,43.9352921428,Resseguie Farm
Jefferson,-76.1023,43.9582101722,Shore Farm
Jefferson,-75.991,43.9851598371,Conklin Farm
Monroe,-77.5996,43.0517032257,Antoinette Louisa Brown Blackwell Childhood Home
Ulster,-74.1201,41.6973959099,"Lafevre, John A., House and School"
Rockland,-73.949,41.0228691393,Tappan Historic District
Rockland,-73.9076,41.0098851875,Neiderhurst
Rockland,-73.9088,41.007370774,Seven Oaks
Suffolk,-73.146,40.914065042,Stony Brook Grist Mill
Suffolk,-73.2264,40.8515571063,Wyandanch Club Historic District
Jefferson,-76.2733,43.9755645541,Getman Farmhouse
Jefferson,-76.2593,43.9815599772,Lance Farm
Jefferson,-76.2565,44.0593168268,Wilcox Farmhouse
Jefferson,-76.1328,44.0678469238,Chaumont Historic District
Jefferson,-76.1551,44.0428340424,Point Salubrious Historic District
Dutchess,-73.511,41.8973419629,Hiddenhurst
Oswego,-76.2266,43.4653855104,"Davis, Phineas, Farmstead"
Oswego,-76.1628,43.4593603382,Stillman Farmstead
Oswego,-76.2289,43.4584251892,Mexico Village Historic District
Madison,-75.877,42.9169873292,Old Trees
Madison,-75.8873,42.9712189284,Shattuck House
Nassau,-73.6318,40.8093806356,Roslyn Cemetery
Oswego,-76.1848,43.4520917849,Slack Farmstead
Oswego,-76.2261,43.4533077768,Thayer Farmstead
New York,-73.9547,40.8089086929,Manhattan Ave. W. 120th-123rd Streets Historic District
Yates,-77.2732,42.7597187168,Bates Cobblestone Farmhouse
Yates,-77.0393,42.7604386314,William Nichols Cobblestone Farmhouse
Yates,-76.9743,42.7342600675,Angus Cobblestone Farmhouse and Barn Complex
