National Register of Historic Places,,,,,,,,,,
National Historic Landmarks Documentation,,,,,,,,,,
Note:  Not all NHLs have been digitized yet,,,,,,,,,,
,,,,,,,,,,
Reference,State,County,City,Resource,Address,Date Listed,,Text,,Photos
Number,,,,Name,,on NR,,Click me,,Click me
66000337,IOWA                ,Louisa                  ,Toolesboro                          ,Toolesboro Mound Group                                                                                                  ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000337.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000337.PDF,Photos
70000246,IOWA                ,Lyon                    ,Sioux Falls                         ,Blood Run Site                                                                                                          ,Address Restricted                                                                                                      ,19700829,http://pdfhost.focus.nps.gov/docs/nhls/text/70000246.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/70000246.PDF,Photos
66000888,IOWA                ,O Brien                 ,Sutherland                          ,Indian Village Site                                                                                                     ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000888.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000888.PDF,Photos
73000736,IOWA                ,Page                    ,Clarinda                            ,"Hepburn, Col. William Peters, House                                                                                     ",321 W. Lincoln St.                                                                                                      ,19730604,http://pdfhost.focus.nps.gov/docs/nhls/text/73000736.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000736.PDF,Photos
74000805,IOWA                ,Polk                    ,Des Moines                          ,Fort Des Moines Provisional Army Officer Training School                                                                ,Fort Des Moines Military Reservation                                                                                    ,19740530,http://pdfhost.focus.nps.gov/docs/nhls/text/74000805.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000805.PDF,Photos
03001036,IOWA                ,Polk                    ,Des Moines                          ,Terrace Hill                                                                                                            ,2300 Grand Avenue                                                                                                       ,20030731,http://pdfhost.focus.nps.gov/docs/nhls/text/03001036.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/03001036.PDF,Photos
66000338,IOWA                ,Pottawattamie           ,Council Bluffs                      ,"Dodge, Grenville M., House                                                                                              ",605 S. 3rd St.                                                                                                          ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000338.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000338.PDF,Photos
76000804,IOWA                ,Poweshiek               ,Grinnell                            ,Merchants' National Bank                                                                                                ,NW corner 4th Ave. and Broad St.                                                                                        ,19760107,http://pdfhost.focus.nps.gov/docs/nhls/text/76000804.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/76000804.PDF,Photos
89002461,IOWA                ,Scott                   ,LeClaire                            ,LONESTAR                                                                                                                ,Buffalo Bill Museum                                                                                                     ,19891220,http://pdfhost.focus.nps.gov/docs/nhls/text/89002461.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/89002461.PDF,Photos
66000339,IOWA                ,Story                   ,Ames                                ,Knapp-Wilson House                                                                                                      ,Iowa State University campus                                                                                            ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000339.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000339.PDF,Photos
89001079,IOWA                ,Woodbury                ,Sioux City                          ,SERGEANT FLOYD                                                                                                          ,Missouri River Mile Marker 730                                                                                          ,19890505,http://pdfhost.focus.nps.gov/docs/nhls/text/89001079.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/89001079.PDF,Photos
66000340,IOWA                ,Woodbury                ,Sioux City                          ,Sergeant Floyd Monument                                                                                                 ,Glenn Ave. and Lewis Rd.                                                                                                ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000340.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000340.PDF,Photos
73000744,IOWA                ,Woodbury                ,Sioux City                          ,Woodbury County Courthouse                                                                                              ,7th and Douglas Sts.                                                                                                    ,19731218,http://pdfhost.focus.nps.gov/docs/nhls/text/73000744.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000744.PDF,Photos
69000059,KANSAS              ,Barber                  ,Medicine Lodge                      ,Medicine Lodge Peace Treaty Site                                                                                        ,SE of Medicine Lodge                                                                                                    ,19690804,http://pdfhost.focus.nps.gov/docs/nhls/text/69000059.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/69000059.PDF,Photos
71000303,KANSAS              ,Barber                  ,Medicine Lodge                      ,"Nation, Carry A., House                                                                                                 ",211 W. Fowler Ave.                                                                                                      ,19710324,http://pdfhost.focus.nps.gov/docs/nhls/text/71000303.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000303.PDF,Photos
66000106,KANSAS              ,Bourbon                 ,Fort Scott                          ,Fort Scott National Historic Site                                                                                       ,Old Fort Blvd.                                                                                                          ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000106.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000106.PDF,Photos
71000305,KANSAS              ,Chase                   ,Strong City                         ,Spring Hill Farm and Stock Ranch House                                                                                  ,3 mi. N of Strong City on KS 177                                                                                        ,19710416,http://pdfhost.focus.nps.gov/docs/nhls/text/71000305.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000305.PDF,Photos
08000828,KANSAS              ,Chase                   ,Strong City                         ,Spring Hill Ranch                                                                                                       ,Northwest of Strong City                                                                                                ,19970218,http://pdfhost.focus.nps.gov/docs/nhls/text/08000828.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/08000828.PDF,Photos
87000813,KANSAS              ,Dickinson               ,Abilene                             ,Parker Carousel                                                                                                         ,412 S. Campbell St.                                                                                                     ,19870227,http://pdfhost.focus.nps.gov/docs/nhls/text/87000813.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/87000813.PDF,Photos
71000312,KANSAS              ,Douglas                 ,Lecompton                           ,Constitution Hall                                                                                                       ,Elmore St. between Woodson and 3rd Sts.                                                                                 ,19710514,http://pdfhost.focus.nps.gov/docs/nhls/text/71000312.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000312.PDF,Photos
66000342,KANSAS              ,Douglas                 ,Lawrence                            ,Haskell Institute                                                                                                       ,Address Unknown                                                                                                         ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000342.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000342.PDF,Photos
66000343,KANSAS              ,Ford                    ,Dodge City                          ,Santa Fe Trail Ruts                                                                                                     ,9 mi. W of Dodge City on U.S. 50                                                                                        ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000343.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000343.PDF,Photos
76000820,KANSAS              ,Graham                  ,Nicodemus                           ,Nicodemus Historic District; Nicodemus National Historic Site                                                           ,U.S. 24                                                                                                                 ,19760107,http://pdfhost.focus.nps.gov/docs/nhls/text/76000820.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/76000820.PDF,Photos
66000344,KANSAS              ,Grant                   ,Ulysses                             ,Lower Cimarron Spring                                                                                                   ,12 mi. S of Ulysses on U.S. 270                                                                                         ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000344.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000344.PDF,Photos
74000839,KANSAS              ,Harvey                  ,Halstead                            ,"Warkentin, Bernhard, Homestead                                                                                          ",N of Halstead                                                                                                           ,19740215,http://pdfhost.focus.nps.gov/docs/nhls/text/74000839.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000839.PDF,Photos
66000345,KANSAS              ,Johnson                 ,Fairway                             ,Shawnee Mission                                                                                                         ,53rd St. at Mission Rd.                                                                                                 ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000345.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000345.PDF,Photos
66000346,KANSAS              ,Leavenworth             ,Leavenworth                         ,Fort Leavenworth                                                                                                        ,Fort Leavenworth Military Reservation                                                                                   ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000346.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000346.PDF,Photos
99000456,KANSAS              ,Leavenworth             ,Leavenworth                         ,"Western Branch, National Home for Disabled Volunteer Soldiers                                                           ",4101 S. 4th St.                                                                                                         ,19990430,http://pdfhost.focus.nps.gov/docs/nhls/text/99000456.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/99000456.PDF,Photos
71000317,KANSAS              ,Linn                    ,Trading Post                        ,Marais des Cygnes Massacre Site                                                                                         ,5 mi. NE of Trading Post                                                                                                ,19710621,http://pdfhost.focus.nps.gov/docs/nhls/text/71000317.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000317.PDF,Photos
71000318,KANSAS              ,Lyon                    ,Emporia                             ,"White, William Allen, House                                                                                             ",927 Exchange St.                                                                                                        ,19710514,http://pdfhost.focus.nps.gov/docs/nhls/text/71000318.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000318.PDF,Photos
66000347,KANSAS              ,Morris                  ,Council Grove                       ,Council Grove Historic District                                                                                         ,U.S. 56                                                                                                                 ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000347.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000347.PDF,Photos
66000107,KANSAS              ,Pawnee                  ,Larned                              ,Fort Larned National Historic Site                                                                                      ,6 mi. W of Larned on U.S. 156                                                                                           ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000107.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000107.PDF,Photos
66000349,KANSAS              ,Rice                    ,Geneseo                             ,Tobias-Thompson Complex                                                                                                 ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000349.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000349.PDF,Photos
66000350,KANSAS              ,Saline                  ,Salina                              ,Whiteford (Price) Archeological Site                                                                                    ,E of Salina                                                                                                             ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000350.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000350.PDF,Photos
66000351,KANSAS              ,Scott                   ,Scott City                          ,El Cuartelejo                                                                                                           ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000351.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000351.PDF,Photos
87001283,KANSAS              ,Shawnee                 ,Topeka                              ,Sumner Elementary School and Monroe Elementary School                                                                   ,330 Western Ave. and 1515 Monroe St.                                                                                    ,19870504,http://pdfhost.focus.nps.gov/docs/nhls/text/87001283.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/87001283.PDF,Photos
66000352,KANSAS              ,Washington              ,Hanover                             ,Hollenberg Pony Express Station                                                                                         ,1.5 mi E of Hanover                                                                                                     ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000352.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000352.PDF,Photos
74000846,KANSAS              ,Wilson                  ,Neodesha                            ,Norman No. 1 Oil Well Site                                                                                              ,E. Mill St.                                                                                                             ,19740828,http://pdfhost.focus.nps.gov/docs/nhls/text/74000846.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000846.PDF,Photos
66000354,KENTUCKY            ,Boyle                   ,Danville                            ,"Jacobs Hall, Kentucky School for the Deaf                                                                               ",S. 3rd St.                                                                                                              ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000354.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000354.PDF,Photos
66000355,KENTUCKY            ,Boyle                   ,Danville                            ,"McDowell, Dr. Ephraim, House                                                                                            ",125--127 S. 2nd St.                                                                                                     ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000355.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000355.PDF,Photos
66000356,KENTUCKY            ,Boyle                   ,Perryville                          ,Perryville Battlefield                                                                                                  ,W of Perryville on U.S. 150                                                                                             ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000356.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000356.PDF,Photos
66000357,KENTUCKY            ,Fayette                 ,Lexington                           ,Ashland                                                                                                                 ,2 mi. SE of Lexington on Richmond Rd.                                                                                   ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000357.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000357.PDF,Photos
86003487,KENTUCKY            ,Fayette                 ,Lexington                           ,Keeneland--Keeneland Racetrack                                                                                          ,Off Versailles and Rice Rds.                                                                                            ,19860924,http://pdfhost.focus.nps.gov/docs/nhls/text/86003487.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/86003487.PDF,Photos
66000358,KENTUCKY            ,Fayette                 ,Lexington                           ,"Old Morrison, Transylvania College                                                                                      ",W. 3rd St. between Upper St. and Broadway                                                                               ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000358.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000358.PDF,Photos
91001665,KENTUCKY            ,Floyd                   ,Prestonsburg                        ,Middle Creek Battlefield                                                                                                ,3 mi. W of Prestonsburg at jct. of KY 114 and KY 404                                                                    ,19920326,http://pdfhost.focus.nps.gov/docs/nhls/text/91001665.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/91001665.PDF,Photos
71000344,KENTUCKY            ,Franklin                ,Frankfort                           ,Liberty Hall                                                                                                            ,218 Wilkinson St.                                                                                                       ,19711111,http://pdfhost.focus.nps.gov/docs/nhls/text/71000344.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000344.PDF,Photos
71000346,KENTUCKY            ,Franklin                ,Frankfort                           ,Old Statehouse                                                                                                          ,"On Broadway, bounded by Madison, Clinton, and Lewis Sts.                                                                ",19710311,http://pdfhost.focus.nps.gov/docs/nhls/text/71000346.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000346.PDF,Photos
01000450,KENTUCKY            ,Franklin                ,Frankfort                           ,"Stagg, George T., Distillery                                                                                            ",1001 Wilkinson Blvd.                                                                                                    ,20010502,http://pdfhost.focus.nps.gov/docs/nhls/text/01000450.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/01000450.PDF,Photos
78001337,KENTUCKY            ,Harlan                  ,Bledsoe                             ,Pine Mountain Settlement School                                                                                         ,E of Bledsoe on KY 510                                                                                                  ,19780906,http://pdfhost.focus.nps.gov/docs/nhls/text/78001337.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78001337.PDF,Photos
72000535,KENTUCKY            ,Jefferson               ,Louisville                          ,BELLE OF LOUISVILLE (steamer)                                                                                           ,4th St. and River Rd.                                                                                                   ,19720410,http://pdfhost.focus.nps.gov/docs/nhls/text/72000535.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000535.PDF,Photos
78001348,KENTUCKY            ,Jefferson               ,Louisville                          ,Churchill Downs                                                                                                         ,700 Central Ave.                                                                                                        ,19781115,http://pdfhost.focus.nps.gov/docs/nhls/text/78001348.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78001348.PDF,Photos
71000347,KENTUCKY            ,Jefferson               ,Louisville                          ,Locust Grove                                                                                                            ,561 Blankenbaker Ln.                                                                                                    ,19710311,http://pdfhost.focus.nps.gov/docs/nhls/text/71000347.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000347.PDF,Photos
71000348,KENTUCKY            ,Jefferson               ,Louisville                          ,Louisville Water Company Pumping Station                                                                                ,Zorn Ave.                                                                                                               ,19711111,http://pdfhost.focus.nps.gov/docs/nhls/text/71000348.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000348.PDF,Photos
89001446,KENTUCKY            ,Jefferson               ,Louisville                          ,MAYOR ANDREW BROADDUS                                                                                                   ,4th St. and River Rd.                                                                                                   ,19890630,http://pdfhost.focus.nps.gov/docs/nhls/text/89001446.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/89001446.PDF,Photos
71000349,KENTUCKY            ,Jefferson               ,Louisville                          ,Southern National Bank                                                                                                  ,320 W. Main St.                                                                                                         ,19710812,http://pdfhost.focus.nps.gov/docs/nhls/text/71000349.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000349.PDF,Photos
66000359,KENTUCKY            ,Jefferson               ,Louisville                          ,"Taylor, Zachary, House                                                                                                  ",5608 Apache Rd.                                                                                                         ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000359.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000359.PDF,Photos
97001265,KENTUCKY            ,Jefferson               ,Louisville                          ,United States Marine Hospital of Louisville                                                                             ,2215 Portland Ave.                                                                                                      ,19970925,http://pdfhost.focus.nps.gov/docs/nhls/text/97001265.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/97001265.PDF,Photos
13000286,KENTUCKY            ,Jessamine               ,Nicholasville                       ,Camp Nelson Historic and Archeological District                                                                         ,Address Restricted                                                                                                      ,20130227,http://pdfhost.focus.nps.gov/docs/nhls/text/13000286.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/13000286.PDF,Photos
66000360,KENTUCKY            ,Kenton                  ,Covington                           ,"Beard, Daniel Carter, Boyhood Home                                                                                      ",322 E. 3rd St.                                                                                                          ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000360.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000360.PDF,Photos
75000786,KENTUCKY            ,Kenton                  ,Covington                           ,Covington and Cincinnati Suspension Bridge                                                                              ,"Spans Ohio River between Covington, KY and Cincinnati, OH                                                               ",19750515,http://pdfhost.focus.nps.gov/docs/nhls/text/75000786.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/75000786.PDF,Photos
75000792,KENTUCKY            ,Leslie                  ,Hyden                               ,Wendover                                                                                                                ,S of Hyden off KY 80                                                                                                    ,19751021,http://pdfhost.focus.nps.gov/docs/nhls/text/75000792.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/75000792.PDF,Photos
08000427,KENTUCKY            ,Madison                 ,Richmond                            ,Fort Boonesborough Site                                                                                                 ,Address Restricted                                                                                                      ,19960619,http://pdfhost.focus.nps.gov/docs/nhls/text/08000427.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/08000427.PDF,Photos
74000892,KENTUCKY            ,Madison                 ,Berea                               ,Lincoln Hall                                                                                                            ,Berea College campus                                                                                                    ,19741202,http://pdfhost.focus.nps.gov/docs/nhls/text/74000892.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000892.PDF,Photos
74000893,KENTUCKY            ,Marion                  ,Loretto                             ,Burks' Distillery                                                                                                       ,E of Loretto off KY 49 and 52                                                                                           ,19741231,http://pdfhost.focus.nps.gov/docs/nhls/text/74000893.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000893.PDF,Photos
71000353,KENTUCKY            ,Mercer                  ,Shakertown and vicinity             ,Shakertown at Pleasant Hill Historic District                                                                           ,On U.S. 68                                                                                                              ,19711111,http://pdfhost.focus.nps.gov/docs/nhls/text/71000353.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71000353.PDF,Photos
66000362,KENTUCKY            ,Ohio                    ,Paradise                            ,Indian Knoll                                                                                                            ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000362.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000362.PDF,Photos
93000001,KENTUCKY            ,Pulaski                 ,Nancy                               ,Battle of Mill Springs Historic Areas                                                                                   ,"Roughly, three discontiguous areas, one S of Nancy, one in Mill Springs and one to the N across the Cumberland R.       ",19930218,http://pdfhost.focus.nps.gov/docs/nhls/text/93000001.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/93000001.PDF,Photos
72000543,KENTUCKY            ,Shelby                  ,Simpsonville                        ,"Young, Whitney M., Jr., Birthplace                                                                                      ",SW of Simpsonville off U.S. 60                                                                                          ,19721018,http://pdfhost.focus.nps.gov/docs/nhls/text/72000543.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000543.PDF,Photos
95001272,KENTUCKY            ,Woodford                ,Frankfort                           ,Labrot & Graham Distillery                                                                                              ,7855 McCracken Pike                                                                                                     ,19951107,http://pdfhost.focus.nps.gov/docs/nhls/text/95001272.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/95001272.PDF,Photos
73000860,LOUISIANA           ,Assumption              ,Napoleonville                       ,Madewood                                                                                                                ,E of Napoleonville on LA 308                                                                                            ,19731030,http://pdfhost.focus.nps.gov/docs/nhls/text/73000860.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000860.PDF,Photos
66000372,LOUISIANA           ,Avoyelles               ,Marksville                          ,Marksville Prehistoric Indian Site                                                                                      ,Marksville Prehistoric Indian Park State Monument                                                                       ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000372.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000372.PDF,Photos
91000624,LOUISIANA           ,Caddo                   ,Shreveport                          ,Shreveport Municipal Memorial Auditorium                                                                                ,705 Elvis Presley Avenue (formerly Grand Avenue)                                                                        ,19910528,http://pdfhost.focus.nps.gov/docs/nhls/text/91000624.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/91000624.PDF,Photos
80001707,LOUISIANA           ,Caddo                   ,Shreveport                          ,"Shreveport Water Works Company, Pump Station                                                                            ",Off LA 3036                                                                                                             ,19800509,http://pdfhost.focus.nps.gov/docs/nhls/text/80001707.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/80001707.PDF,Photos
78001421,LOUISIANA           ,East Baton Rouge        ,Baton Rouge                         ,Louisiana State Capitol Building and Gardens                                                                            ,Capitol Dr.                                                                                                             ,19780609,http://pdfhost.focus.nps.gov/docs/nhls/text/78001421.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78001421.PDF,Photos
73000862,LOUISIANA           ,East Baton Rouge        ,Baton Rouge                         ,Old Louisiana State Capitol                                                                                             ,North Blvd. and St. Philip St.                                                                                          ,19730112,http://pdfhost.focus.nps.gov/docs/nhls/text/73000862.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000862.PDF,Photos
83000502,LOUISIANA           ,East Baton Rouge        ,Baton Rouge                         ,U.S.S. KIDD                                                                                                             ,Mississippi River near Government St. and River Rd.                                                                     ,19830809,http://pdfhost.focus.nps.gov/docs/nhls/text/83000502.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/83000502.PDF,Photos
74002249,LOUISIANA           ,East Feliciana          ,Clinton                             ,Courthouse and Lawyers' Row                                                                                             ,"Liberty, St. Helena, Bank, and Woodville Sts.                                                                           ",19740530,http://pdfhost.focus.nps.gov/docs/nhls/text/74002249.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74002249.PDF,Photos
80001720,LOUISIANA           ,East Feliciana          ,Gurley                              ,Oakland Plantation House                                                                                                ,W of Gurley                                                                                                             ,19801003,http://pdfhost.focus.nps.gov/docs/nhls/text/80001720.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/80001720.PDF,Photos
74002349,LOUISIANA           ,East Feliciana          ,Port Hudson                         ,Port Hudson                                                                                                             ,Port Hudson and environs along US 61                                                                                    ,19740530,http://pdfhost.focus.nps.gov/docs/nhls/text/74002349.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74002349.PDF,Photos
72000553,LOUISIANA           ,Iberia                  ,New Iberia                          ,Shadows-on-the-Teche                                                                                                    ,E. Main St.                                                                                                             ,19721005,http://pdfhost.focus.nps.gov/docs/nhls/text/72000553.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000553.PDF,Photos
76000964,LOUISIANA           ,Lafourche               ,Thibodaux                           ,"White, Edward Douglass, House                                                                                           ",5 mi. N of Thibodaux on LA 1                                                                                            ,19761208,http://pdfhost.focus.nps.gov/docs/nhls/text/76000964.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/76000964.PDF,Photos
93001601,LOUISIANA           ,Natchitoches            ,Cloutierville                       ,"Chopin, Kate, House                                                                                                     ",Main St. (LA 1)                                                                                                         ,19930419,http://pdfhost.focus.nps.gov/docs/nhls/text/93001601.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/93001601.PDF,Photos
78001427,LOUISIANA           ,Natchitoches            ,Robeline                            ,Los Adaes                                                                                                               ,NE of Robeline off LA 6                                                                                                 ,19780607,http://pdfhost.focus.nps.gov/docs/nhls/text/78001427.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78001427.PDF,Photos
93001622,LOUISIANA           ,Natchitoches            ,Robeline                            ,Los Adaes (Boundary Increase)                                                                                           ,1/2 mi. N of LA 6 N of Robeline                                                                                         ,19931104,http://pdfhost.focus.nps.gov/docs/nhls/text/93001622.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/93001622.PDF,Photos
79001071,LOUISIANA           ,Natchitoches            ,Derry                               ,Magnolia Plantation                                                                                                     ,5487 LA HWY 119                                                                                                         ,19790307,http://pdfhost.focus.nps.gov/docs/nhls/text/79001071.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/79001071.PDF,Photos
72000556,LOUISIANA           ,Natchitoches            ,Melrose                             ,Melrose Plantation                                                                                                      ,LA 119 off LA 493                                                                                                       ,19720613,http://pdfhost.focus.nps.gov/docs/nhls/text/72000556.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000556.PDF,Photos
74000928,LOUISIANA           ,Natchitoches            ,Natchitoches                        ,Natchitoches Historic District                                                                                          ,"Roughly bounded by 2nd, 4th, Jefferson, and Parie Sts. and Williams and College Aves.                                   ",19740605,http://pdfhost.focus.nps.gov/docs/nhls/text/74000928.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74000928.PDF,Photos
80001740,LOUISIANA           ,Natchitoches            ,Natchitoches                        ,Natchitoches Historic District (Boundary Increase)                                                                      ,Address unknown at this time                                                                                            ,19801125,http://pdfhost.focus.nps.gov/docs/nhls/text/80001740.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/80001740.PDF,Photos
66000373,LOUISIANA           ,Orleans                 ,New Orleans                         ,"Cabildo, The                                                                                                            ",701 Chartres St.                                                                                                        ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000373.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000373.PDF,Photos
66000374,LOUISIANA           ,Orleans                 ,New Orleans                         ,"Cable, George Washington, House                                                                                         ",1313 8th St.                                                                                                            ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000374.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000374.PDF,Photos
70000495,LOUISIANA           ,Orleans                 ,New Orleans                         ,DELTA QUEEN (Steamboat)                                                                                                 ,30 Robin St. Wharf                                                                                                      ,19700615,http://pdfhost.focus.nps.gov/docs/nhls/text/70000495.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/70000495.PDF,Photos
